id,tenant_id,name,address,place_id
48,1,Auchan Piéton V2 Galerie marchande,"Quartier de l'Hôtel de Ville, Chau. de l'Hôtel de ville, Villeneuve-d'Ascq",ChIJ_Ts3WE7XwkcR9aQ3GqCe4Ms
49,1,Auchan Consigne Terradéo,"135 Rue Sadi Carnot, Ronchin",ChIJz5oqL_DXwkcRotWyZTFAzzc
50,1,Auchan V2 ( Livraison ),"Rue du Ventoux, Villeneuve-d'Ascq",ChIJN1smPjjWwkcRYNj6tXRmnHA
51,1,Auchan Consigne CH Valenciennes,"Av. du Général Horne, Valenciennes",ChIJ3-h5uvrtwkcRL0uoad88ej4
52,1,Auchan Drive Cambrai,"Av. de Valenciennes, Cambrai",ChIJfzTcr2S8wkcRtuf2s2REckc
53,1,Auchan noyelles livraisons,"24 Cité de la Borne des Loups, Noyelles-Godault",ChIJJda78BAz3UcR3w6DBxbE-zQ
54,1,Base Auchan,"2 Rue de l'Europe, Lesquin",ChIJidUUfpLWwkcR4RKsE_0xhF8
55,1,Auchan Supermarché,"Parc de l'innovation, Rue de Menin, Marquette-lez-Lille",ChIJLc8ANlwrw0cRdRDWUYFWlbA
56,1,Auchan Traiteur,"352 Route Nationale, Englos",ChIJSVPHjZoq3UcRVIK0fPzdh9s
57,1,Auchan Photo Douai,"C.Cial Auchan direction centre hospitalier, Sin-le-Noble",ChIJQ-4BNaTJwkcR4a47Jx7gnFY
58,1,Point Retrait Marchandise Ecombrant Auchan Arras (SAS à Emporter),"Rue Léon Foucault, Arras",ChIJ033Xg-hH3UcRj0mio0u1npc
59,1,Auchan Photo Roncq,"Bd d'Halluin, Roncq",ChIJOweloxgvw0cRbMitldYuBUQ
60,1,Auchan Hypermarché Épinay-Sur-Seine,"5 Av. de Lattre de Tassigny, Épinay-sur-Seine",ChIJcX0Bt8Fo5kcRxtWp-8sftGo
61,1,Auchan Hypermarché Meaux,"3 Av. Roland Moreno, Chauconin-Neufmontiers",ChIJhXBTPveg6EcRIBlZb06r8Io
62,1,Auchan Hypermarché Osny,"Centre Commercial de l'Oseraie, CD 915, Osny",ChIJY_ftY1H05kcRCSE9R8ruBNM
63,1,Auchan Hypermarché Mantes,"D110, Buchelay",ChIJPTx9V1O-5kcRKmn-Tbe37e4
64,1,Auchan Hypermarché Neuilly-Sur-Marne,"1 a 9 avenue du Maréchal Foch, RN 34, Neuilly-sur-Marne",ChIJn8EcXXYS5kcRwnwy0Rx8uzc
65,1,Auchan Hypermarché Maurepas,"Centre Commercial Pariwest, Av. Johannes Gutenberg, Maurepas",ChIJQV3ixjWD5kcRnONUorLrrjM
66,1,Auchan,"46 Bd de Reuilly, Paris",ChIJBaGqR2ly5kcRjm9Cw88VidM
67,1,Auchan Hypermarché Villebon-Sur-Yvette,"Chem. de Briis BP 309, Villebon-sur-Yvette",ChIJA4W0eyR55kcR48YwDYlTd0g
68,1,Auchan Supermarché Antony - Pascal,"134 Rue Pascal, Antony",ChIJ0QX4ef525kcRJkOpKkZE2jE
69,1,Auchan Hypermarché Cergy,"Centre Commercial des 3 Fontaines, Cergy",ChIJ7XqGdDz15kcRDP_XURXyo0E
70,1,Auchan Supermarché Paris Ourcq,"17 Rue de Thionville, Paris",ChIJXRTzis5t5kcREORZ2Y3NLkw
71,1,Auchan Hypermarché Roissy Aeroville,"Rue des Buissons, Roissy-en-France",ChIJpcDzT5gV5kcR4wOxWhoJOpI
72,1,Auchan Hypermarché Fontenay-Sous-Bois,"Av. du Maréchal Joffre, Fontenay-sous-Bois",ChIJ0RBVH54S5kcRSScT1ADadfY
73,1,Auchan Supermarché Les Mureaux,"Centre Commercial Espace, Av. Paul Raoult, Les Mureaux",ChIJdTe1UomS5kcRC_JgY7UEJzg
74,1,Auchan,"14 cours du Danube SERRIS, MARNE LA VALLEE",ChIJ05ZziiUd5kcRK5VxpAJHxt8
75,1,Auchan Hypermarché BAGNOLET,"26 Av. du Général de Gaulle, Bagnolet",ChIJQakRm3dt5kcRQHZIWpiM_YU
76,1,Auchan Hypermarché Creil Nogent-Sur-Oise,"4 Av. de l'Europe, Nogent-sur-Oise",ChIJ3wlwmQ1K5kcRbJgRW9Y6QNk
77,1,Auchan Hypermarché Sarcelles,"200 Av. de la Division Leclerc CS 60059, Sarcelles",ChIJKTnRgk5p5kcRCq4rVB2MaKU
78,1,Auchan Supermarché Boulogne Billancourt,"231 Bd Jean Jaurès, Boulogne-Billancourt",ChIJ0XMEX-565kcRNU9CALjV9FA
79,1,Auchan Hypermarché Kremlin Bicêtre - Okabé,"57-77 Av. de Fontainebleau, Le Kremlin-Bicêtre",ChIJhwhSRn5x5kcRO-0Mz-fHq68
80,1,Auchan Supermarché Antony Fontaine,"12 Place de la résidence La Fontaine, Antony",ChIJX7EWzmh35kcRO0aHO9vhWK8
81,1,Auchan,"2 Av. de l'Europe, Vélizy-Villacoublay",ChIJG_VGStF75kcRdG2ljRdOJO0
82,1,Auchan Supermarché La Garenne-Colombes,"49/51 Ave. du Général de Gaulle, La Garenne-Colombes",ChIJY-0bAr1l5kcRev0390t0fbc
83,1,Auchan Supermarché Montreuil-Sous-Bois,"98 Bd de la Boissière, Montreuil",ChIJ3d53tzRt5kcRP7PS5RBLIBI
84,1,Auchan SUPERMARCHE COIGNIERES,"Route Nationale 10 Coignières, Coignières",ChIJuan3RyyD5kcRwWRPp0GsN3k
85,1,Auchan,"3 Rue Louis Salle, Limeil-Brévannes",ChIJ0S1SoAsL5kcRpkdHtXeboTM
86,1,Auchan Supermarché Arpajon,"4 Bd Voltaire, Arpajon",ChIJ7RnW25zQ5UcRcTSeGmGjR_M
87,1,Auchan,"Rue Théroigne de Méricourt, Taverny",ChIJLxvN8Ypd5kcR_RaK3_WhxWI
